WB_ID,Symbol,N2Fed_R2,N2Fed_R3,N2Fed_R5,N2Fed_R6,N2Starved_R2,N2Starved_R3,N2Starved_R5,N2Starved_R6,Daf2_R2,Daf2_R3,Daf2_R5,Daf2_R6,Daf2_Daf16_R2,Daf2_Daf16_R3,Daf2_Daf16_R5,Daf2_Daf16_R6,Daf16_R2,Daf16_R3,Daf16_R5,Daf16_R6,,,,
WBGene00000606,col-17,3452.833262,3626.020956,3685.853677,4282.676772,0.752673232,0.082197683,0.07195458,0.626587077,1.393426449,0.537979612,0.229560225,0.115659364,1.217755638,0.628960398,0.561792883,1.463384224,0.233705161,0.247304826,0,0.151322811,,,,
WBGene00002147,ire-1,83.16440068,85.72939698,81.31661007,75.99339827,95.06262919,101.7607319,98.64972913,107.0680667,95.99159981,95.82761842,89.22240759,96.69122847,86.53676005,92.38729397,83.947908,90.9249398,55.3102214,58.98220092,58.52406588,61.28573848,,,,
WBGene00003090,lys-1,454.3829349,493.0454156,449.6665876,455.5415284,136.6854589,145.4898994,137.6491115,113.4122609,106.7519485,114.9931421,113.5557915,104.1512575,182.0544679,197.3537959,158.7466176,173.0695743,153.8558976,133.6682583,132.3532059,124.3873507,,,,
WBGene00003096,lys-7,39.59452346,38.9310412,30.03008144,32.19247895,16.33300913,19.89183936,13.67137019,18.32767199,10.68293611,13.24774795,12.39625217,14.16827212,2.663840459,6.149834999,2.006403155,1.951178966,1.402230965,1.731133779,0.793009023,0.832275461,,,,
WBGene00003795,npp-9,286.0664566,267.4075893,285.2501085,326.113402,154.7496165,201.6309171,180.4620866,307.4192844,612.4883368,701.0546821,636.8000651,630.4013646,456.9628033,578.2242589,610.7491203,620.767588,148.8701875,208.6634466,183.7401906,214.5000847,,,,
WBGene00004114,pqn-25,21.62592446,21.493179,22.32640259,18.84875626,86.93375828,87.95152112,86.12963222,79.34158857,100.4041169,78.41052848,96.18573442,95.41897547,91.71222151,79.03935664,81.21919971,79.6081018,67.2291846,70.4200491,61.22029656,51.82806279,,,,
WBGene00006808,unc-76,32.75691499,36.25453212,39.58834964,35.72288092,60.74072981,51.29135437,51.51947926,59.68241904,49.77628925,53.52897141,50.96237003,51.29492802,45.2852878,54.37013215,54.09262905,50.73065311,91.84612821,97.87088475,95.00248093,98.5868114,,,,
WBGene00007237,WBGene00007237,8.586764123,8.516165263,8.345652086,8.317387684,11.44063312,7.808779913,11.15295989,11.12192061,8.670209015,10.42335499,6.73376661,9.194919454,9.818154834,9.15486801,9.06894226,9.65833588,18.77431459,18.3623833,16.33598587,18.83968998,,,,
WBGene00008447,WBGene00008447,6.917115544,7.137357554,11.84083971,8.018201077,28.14997887,28.02941,27.63055871,26.31665721,20.12727093,18.02231701,21.50214111,20.76085587,35.16269406,55.9075909,43.09753976,61.55969637,26.33078145,31.16040803,34.02008708,32.00477454,,,,
WBGene00008492,WBGene00008492,27.03240557,39.90431723,29.88742072,31.89329234,23.63393948,20.63161851,20.86682819,14.41150276,34.75824864,33.89271557,29.38370885,29.43530819,10.57925211,14.04678221,7.865100367,14.24360645,8.958697832,6.924535118,5.868266769,5.674605414,,,,
WBGene00008741,ctsa-1.2,281.216525,282.9800057,208.5699718,253.4708938,52.23552229,56.96299452,62.60048457,44.01774213,57.67237246,37.92756266,59.53261844,49.90701565,208.9212017,197.0043734,208.4251597,191.3130976,150.1945167,142.6948844,146.3894656,118.1831154,,,,
WBGene00009628,tatn-1,269.3699708,390.5270071,318.1334043,494.4357873,135.5564491,148.7778068,196.5079579,178.42067,26.62992769,29.05089906,28.92458839,28.85701137,32.42274387,40.60288789,39.72678246,49.16970994,63.87941063,101.1476737,65.81974889,72.18098087,,,,
WBGene00010124,WBGene00010124,4.690917438,6.001868852,4.565143022,3.889425896,1.956950403,3.287907332,1.726909919,2.036407999,0.309650322,0.605227064,0.688680676,1.040934278,1.522194548,4.332838295,2.006403155,7.316921122,0.701115483,0.741914477,0.396504511,0.832275461,,,,
WBGene00010435,WBGene00010435,73.38503042,79.15978378,71.54435079,80.24184809,126.7501722,129.3791535,115.8468737,136.9092762,187.6480951,198.1782396,190.6880272,207.8398775,207.5512266,206.6484329,194.5408499,182.6303512,167.3328952,153.8854278,158.7604064,157.8296919,,,,
WBGene00010759,cysl-2,105.0288464,80.7819105,71.11636863,61.75211576,18.06415757,13.39822238,19.21187285,16.68288091,54.11139376,40.68470817,47.28940642,43.31443189,50.08020063,30.67929051,24.23735011,24.87753181,23.76002469,14.09637506,20.06312828,17.62910749,,,,
WBGene00011116,pdcd-2,40.62811544,40.87759326,41.79959079,40.33035467,128.4813207,128.1461883,128.5828344,118.1899873,165.1210342,166.9081747,171.9406088,167.0121219,162.8748166,188.6881193,173.5137448,165.8502121,142.4822464,136.3267851,147.9754837,127.3381455,,,,
WBGene00011330,WBGene00011330,120.9302614,100.6529628,76.39481525,108.9637624,159.2656559,162.8336106,178.8071312,127.0405298,198.7955067,157.0227993,177.0674538,166.8964625,260.219158,205.4603966,225.6802268,238.6291875,165.0737453,119.0772735,144.8034476,109.709038,,,,
WBGene00012103,clec-12,2.067183956,3.811997784,4.779134101,2.932028752,5.1934453,5.014058681,5.108775178,5.48263692,4.489929668,6.455755346,7.498967362,6.59258376,3.80548637,5.171452158,6.340233969,5.365742156,13.55489933,14.03454886,12.84674617,16.11587938,,,,
WBGene00012456,WBGene00012456,0.954084903,0.811063358,2.282571511,1.077071786,3.763366159,1.561755983,1.798864499,2.349701537,1.161188707,1.34494903,0.841720826,0.983104596,3.424937733,3.703877897,3.531269552,4.292593725,8.101778909,8.532016485,6.899178498,7.490479147,,,,
WBGene00013447,nars-2,16.93500702,18.24892556,18.11791137,18.37005769,10.46215792,11.83646639,12.01641485,10.96527384,8.979859337,10.55784989,11.01889082,11.45027706,6.621546283,10.62244227,8.42689325,6.731567432,11.37365116,13.5399392,15.46367594,12.2571477,,,,
WBGene00013637,WBGene00013637,6.758101393,7.461782897,9.700928921,5.146009646,23.0318009,20.79601387,18.13255415,28.74468214,7.89608321,16.07214091,12.70233247,12.72253006,3.729376642,5.171452158,4.895623698,3.609681087,8.724992671,8.284711659,8.088692032,12.03016348,,,,
WBGene00014095,gdh-1,2378.772183,2077.538793,2076.284111,2193.037832,1634.580458,1887.587599,1864.415122,1542.579059,1747.666417,1770.154666,1744.581193,1682.61243,1890.565628,1428.928139,1761.381202,1419.872933,1302.049353,1238.13161,1222.106205,1016.132676,,,,
WBGene00014165,puf-12,284.8738505,266.4343132,257.1459468,308.2220429,296.3274514,306.9261494,317.9672889,347.2858872,446.1287014,469.5217065,486.8207179,479.6393834,528.4298373,483.3211233,527.844542,492.8678067,402.6739921,361.0650454,430.8418021,405.3938108,,,,
WBGene00015593,WBGene00015593,3.021268858,2.027658396,1.783258993,0.777885179,11.44063312,6.822407713,7.771094636,9.477129533,3.09650322,3.900352188,4.055563981,2.717995059,11.41645911,13.76724426,12.43969956,11.99975064,22.35779372,21.57734604,17.60480031,27.69207442,,,,
WBGene00015605,WBGene00015605,10.41542685,14.43692778,17.26194705,7.240315898,51.63338371,39.8658764,41.51779264,52.08505074,17.18559287,25.75577393,26.78202629,19.89341064,60.20279437,71.14240942,66.45207249,55.51104158,100.4932192,97.12897027,97.85731341,121.8905243,,,,
WBGene00015672,WBGene00015672,0.715563677,0.892169694,0.998625036,0.359023929,0.903207878,1.232965249,0.86345496,0.939880615,1.083776127,1.008711773,1.377361352,1.734890463,1.598304275,0.838613864,0.722305136,1.073148431,2.960265371,2.905831701,3.172036091,2.496826382,,,,
WBGene00015759,WBGene00015759,76.08827098,88.32479973,73.89825266,70.60803934,21.15011782,22.19337449,22.73764727,20.20743322,11.99894998,9.481890665,12.39625217,10.92980992,26.71451432,32.07698028,27.36733903,55.02324683,13.39909589,14.96194195,11.97443624,13.08942316,,,,
WBGene00016063,delm-2,0.397535376,0.162212672,0.07133036,0.119674643,0.075267323,0.24659305,0,0.234970154,0,0.201742355,0.15304015,0.057829682,3.577157188,2.445957102,2.407683786,4.292593725,0.701115483,0.741914477,0.71370812,0.983598272,,,,
WBGene00019906,WBGene00019906,8.030214597,8.353952592,8.916294964,7.838689113,13.92445479,11.83646639,10.4334141,15.7430003,7.741258049,5.783280831,5.356405258,6.072116621,13.85197039,15.72400994,14.92763947,12.87778117,17.60578878,27.38900944,19.66662376,37.90636417,,,,
WBGene00019997,WBGene00019997,0.795070752,0.892169694,0.713303597,0.478698572,3.010692928,2.465930499,2.806228619,2.74131846,2.399789995,2.286413352,1.913001878,3.238462198,0.913316729,2.166419147,1.926147029,1.658502121,2.492855049,3.647746178,3.727142407,3.55608606,,,,
WBGene00020781,WBGene00020781,200.0398012,179.5694276,184.7456317,187.7096775,213.7591979,230.728897,220.3249239,238.4163826,245.7075305,241.2838561,260.1682554,263.7033504,295.0013034,271.5012383,277.5256844,291.7012554,216.5667824,204.6447432,233.4618563,219.4937374,,,,
WBGene00021583,clec-72,44.84199042,41.52644395,32.02733151,33.9875986,28.75211746,40.44126018,25.18410299,20.20743322,36.69356315,41.82791485,41.55040079,42.9674538,11.56867856,14.39620466,7.624331988,12.68266328,5.764727301,8.532016485,4.282248723,4.615345737,,,,
WBGene00021906,WBGene00021906,23.29557304,23.7641564,27.10553669,22.49883287,24.68768201,29.5089683,31.37219687,33.05246829,26.39768995,22.66239116,25.25162479,22.90055411,41.09925279,55.06897704,52.00596977,47.60876676,30.77117951,32.14962733,25.77279324,29.81059378,,,,
WBGene00044301,lgc-28,1.590141504,2.108764732,1.497937554,2.393492859,5.118177977,3.452302698,5.972230137,6.34419415,11.22482417,13.24774795,11.09541089,14.05261275,11.26423965,10.48267329,7.38356361,8.390069553,5.68682558,5.873489609,4.123646918,5.674605414,,,,